"MSFD habitat code","Total area km^2","Total value euro","Area with the least value constituting 5% of the swept area","Value of the lowest 5% area","Fraction of total area with the least value constituting 5% of the swept area","Fraction of total value from the lowest 5% area","Area with the least value constituting 10% of the swept area","Value of the lowest 10% area","Fraction of total area with the least value constituting 10% of the swept area","Fraction of total value from the lowest 10% area"
"Circalittoral mixed sediment",107638.827002165,3444438.55158062,103175.266756239,185114.719692606,0.958532061615315,0.0537430750819053,104490.35653076,404127.1842454,0.970749676867607,0.117327447766473
"Circalittoral mud or Circalittoral sand",51688.7408498589,2407577.06002555,48210.8545532983,163650.908168464,0.932714818752059,0.067973279395978,49995.3852075028,455131.346435216,0.96723937138893,0.189041237346889
"Offshore circalittoral mud or Offshore circalittoral sand",32625.9860499542,1133320.80293291,30309.3207414436,164183.891296466,0.928993247745416,0.144869741093234,31622.3322020044,377203.645403782,0.969237593419765,0.332830425796139
"Circalittoral sand",32336.0131959635,7504648.84630199,24636.317668164,235668.318249438,0.761884822314439,0.0314029774178664,26627.0055280037,555482.150288573,0.823447385632794,0.0740184066789871
"Infralittoral sand",22923.628490618,3357594.64612718,17495.507801248,233037.557873594,0.763208486318318,0.0694061024139384,19002.8549545554,467320.835348003,0.828963659149022,0.139183220311313
"Circalittoral mud",22487.2295335749,4440974.63501767,17803.0967950818,61578.156593133,0.791698095512414,0.0138659104484816,18407.9494018572,158113.426640937,0.818595700033788,0.0356033167571353
"Offshore circalittoral mud",20930.0383223955,16388609.8696992,8888.45463536929,39743.1787948277,0.424674551401011,0.00242504880589712,10002.6315152611,225363.684003623,0.477907940787575,0.0137512385611361
"Infralittoral mixed sediment",20166.8335901052,757269.721264645,19304.8239605371,47611.5661368318,0.957256074647681,0.0628726658413335,19530.9187165048,77643.3284431112,0.968467292063523,0.102530612624319
"Offshore circalittoral mixed sediment",19460.1842768451,8424125.46877167,13421.0478385465,73777.4504930545,0.689667047732723,0.00875787650202367,14565.7625920911,253589.377859829,0.748490475982917,0.0301027541434286
"Circalittoral coarse sediment",10979.5354442253,152175.862236399,10717.0418240588,24147.5972174374,0.976092465705856,0.158682177728851,10769.9629409886,33026.8651963464,0.980912443490766,0.217030905631017
"Infralittoral coarse sediment",6568.25592520724,234153.881106659,6094.25340031761,29638.8892158816,0.927834339848035,0.126578680121816,6322.26330247757,61708.3103647773,0.9625482585437,0.263537422797056
"Circalittoral rock and biogenic reef",6208.54353532881,31046.678911139,6138.96710526324,3870.72368168834,0.988793437676702,0.124674323226875,6174.11639859419,9033.23879324298,0.994454877132018,0.290956685547516
"Infralittoral rock and biogenic reef",3765.31161359476,23880.267323912,3711.98683452494,2005.49346478167,0.985837884206639,0.0839811982662987,3711.98683452494,2005.49346478167,0.985837884206639,0.0839811982662987
"Offshore circalittoral sand",2656.50438986551,1939920.66759817,1214.71559199175,19186.6483067572,0.457260901440952,0.0098904293496251,1357.81733858663,42498.4661081271,0.511129341162269,0.021907321684832
"Infralittoral mud",2109.58393868752,392977.020360714,1624.43684821738,4967.46423258271,0.770027121664578,0.0126405972237844,1714.22004859263,18397.5227792244,0.812586793611602,0.0468157724905576
"Infralittoral mud or Infralittoral sand",2061.08463329996,65116.2074546862,2032.24648481887,79.5897435897437,0.986008265737774,0.00122227240652996,2048.33527085338,3534.71258741259,0.993814246033089,0.0542831458646046
"Offshore circalittoral coarse sediment",759.901118686972,44051.3264269699,724.415460063494,200.947134659761,0.953302268215116,0.00456165911355472,724.415460063494,200.947134659761,0.953302268215116,0.00456165911355472
"Offshore circalittoral rock and biogenic reef",287.127790569655,0,287.127790569655,0,1,NA,287.127790569655,0,1,NA
"Unknown",75.8108316984333,0,75.8108316984333,0,1,NA,75.8108316984333,0,1,NA
