"EUNIS habitat code","Total area km^2","Total value euro","Area with the least value constituting 5% of the swept area","Value of the lowest 5% area","Fraction of total area with the least value constituting 5% of the swept area","Fraction of total value from the lowest 5% area","Area with the least value constituting 10% of the swept area","Value of the lowest 10% area","Fraction of total area with the least value constituting 10% of the swept area","Fraction of total value from the lowest 10% area"
"A5.27",257872.367760813,265090024.056591,112095.632269727,10268253.1329234,0.434694237475263,0.0387349662420015,144020.065277386,23738717.4572987,0.558493593276231,0.0895496446604533
"A5.37",89739.9581646215,135728068.782344,13330.4270058573,1793867.94778488,0.148545054828348,0.0132166320782296,22835.0709334097,5898941.8055755,0.254458230206887,0.0434614730652003
"A5.15",75724.113122593,157003066.617357,25584.0912569493,2219446.20227038,0.337859239309018,0.0141363238953768,33086.4528356662,5162454.05607832,0.436934174218734,0.0328812307129012
"A5.25 or A5.26",71405.7940560599,128044477.848651,18439.6771543321,1926883.93231591,0.258237827869477,0.0150485516024635,26936.7975085823,5276734.41903866,0.377235459176248,0.0412101678080626
"A5.14",31469.0340101033,39819515.7775368,16436.3535408464,822660.869560742,0.522302449308404,0.0206597406697955,18840.5533551508,1758050.70669751,0.598701356676597,0.0441504792905912
"Unknown",23265.623193221,31834761.3822587,15846.8867867955,198407.453306291,0.681128833523481,0.0062324152810161,16399.7423323051,411743.576238432,0.704891598909912,0.0129337729689375
"A5.23 or A5.24",13586.0556709644,25505533.5369183,6381.95995200267,171805.212311028,0.469743397683993,0.00673599758508662,6909.47691305461,379564.722045798,0.508571220403675,0.0148816617184813
"A5.45",8073.88128377434,10638920.3608316,3021.12864639656,203081.703930909,0.374185418414309,0.0190885632228791,3576.96195368487,405878.676252946,0.443028802129319,0.0381503632405443
"A5.44",4802.09116512959,4529240.4634355,2839.7333968857,138523.840025455,0.591353495640908,0.0305843421526758,3046.78612579502,222393.359859776,0.634470696416444,0.0491016897104835
"A5.35",4473.794018222,9893837.27524635,1687.08307994403,123003.090377374,0.377103432360196,0.0124322936546691,2043.60601981285,267082.21914867,0.45679483934422,0.026994806132186
"A5.13",3327.96479383411,5137982.64548112,1094.78026404292,52925.9771420451,0.328963895913586,0.0103009256344207,1303.42116968566,135429.915391039,0.391657138951882,0.0263585778185044
"A4.33",2498.91133456789,542227.600361598,2333.84038067284,18577.7381781327,0.933942852788894,0.0342618822165151,2351.1631035194,27254.2109299304,0.940874960625988,0.0502634150525632
"A4.1",2058.91195474887,546754.199964466,1757.44953575321,57597.8221556916,0.85358168507384,0.105345001756612,1889.48923621719,111399.395491203,0.917712499487456,0.203746757680953
"A5.43",1178.1316340001,37140.6665723977,1144.13848325475,12072.5236937518,0.971146559718512,0.325048654423555,1161.43889109564,20097.0946976289,0.985831173340296,0.541107539318229
"A3.1",1159.03587865514,331744.511096455,1021.34946329275,26018.7900507796,0.881206080072209,0.0784302051141235,1041.69300163098,31891.9350368155,0.898758201376542,0.0961340247391248
"A6.4",1098.60000789837,1802613.66055484,108.683788755535,11762.5856146514,0.0989293536993943,0.00652529483829101,329.476828826134,112492.914685958,0.29990608634386,0.0624054489031957
"A5.33",984.244770406876,1084463.29751428,734.298269796444,8339.85737457386,0.746052498194015,0.00769030855510722,752.74037984354,14839.7722134223,0.764789819032887,0.0136839782844074
"A6",927.292800105015,0,927.292800105015,0,1,NA,927.292800105015,0,1,NA
"A6.11",885.137604923386,0,885.137604923386,0,1,NA,885.137604923386,0,1,NA
"A4.27",862.583417614586,766850.493798041,609.708618642338,15366.0225635351,0.706840180545604,0.0200378335644417,609.708618642338,15366.0225635351,0.706840180545604,0.0200378335644417
"A4.2",707.743106280293,270101.030046665,545.845255497185,23879.3861718344,0.771247717785625,0.0884090896199424,579.79216284087,36133.5829093541,0.819212730856683,0.133778027070505
"A6.5",657.800823969749,922833.693163619,112.661807822105,10736.0578439371,0.1712703963218,0.0116337948250808,210.924279018787,54292.4269834224,0.320650676212116,0.0588322981547189
"A5.36",461.159622054886,550124.874527426,286.755613263851,2812.22624786342,0.621814225595237,0.00511197798550594,304.078336110401,9731.11274008666,0.659377624509829,0.0176889160819095
"A4.12",360.994011331699,21078.8988328527,330.307632845394,7331.25222173048,0.914994771317386,0.347800531700654,360.994011331699,21078.8988328527,1,1
"A5.34",260.113515457989,1772.97051567418,260.113515457989,1772.97051567418,1,1,260.113515457989,1772.97051567418,1,1
"A6.3",228.526823157471,131291.939425825,119.307217213333,19106.8748140251,0.522070956769579,0.145529686723988,164.242566538486,39406.2989098727,0.718701482255814,0.300142560786345
"A4.3",139.805236134335,57436.0847010482,107.378695446281,0,0.768059183013035,0,123.683824148827,8093.13425827142,0.884686636700664,0.140906788831372
"A3.2",114.14987790065,230827.871573701,17.5229343659859,1240.09111244499,0.153508130610853,0.00537236298195054,37.866472704216,9708.8974931208,0.331725915091849,0.0420612009586582
"A6.4 or A6.5",80.3056040319138,130535.647260027,63.8860759014664,0,0.795536957496488,0,63.8860759014664,0,0.795536957496488,0
"A3.3",79.15641024366,851.559365790936,79.15641024366,851.559365790936,1,1,79.15641024366,851.559365790936,1,1
"A5.35 or A5.36",73.8045098534546,3144.89021871773,73.8045098534546,3144.89021871773,1,1,73.8045098534546,3144.89021871773,1,1
